day,pRate
2014-09-07,139.5
2014-09-08,29.3333333333
2014-09-09,162.25
2014-09-10,26.6
2014-09-11,181.0
2014-09-12,440.4
2014-09-13,22.0
2014-09-21,22.0
2014-09-22,125.6
2014-09-23,540.333333333
2014-09-24,112.75
2014-09-25,34.25
2014-09-26,133.333333333
2014-09-27,58.0
2014-09-28,118.0
2014-09-29,76.3333333333
2014-09-30,39.0
2014-10-01,191.5
2014-10-02,53.3333333333
2014-10-03,217.666666667
2014-10-04,45.6666666667
2014-10-05,59.2857142857
2014-10-06,18.75
2014-11-01,64.4285714286
2014-11-02,237.0
2014-11-03,40.0
2014-11-04,103.666666667
2014-11-05,142.0
2014-11-06,54.6666666667
2014-11-07,298.0
2014-11-08,147.0
2014-11-09,63.5
2014-11-11,55.4
2014-11-12,24.3333333333
2014-11-13,95.0
2014-11-14,164.833333333
2014-11-15,84.5
2014-11-16,146.0
2014-11-17,123.0
2014-11-18,27.75
2014-11-19,156.0
2014-11-20,39.5
2014-12-03,107.0
2014-12-04,159.0
2014-12-05,28.75
2014-12-06,38.75
2014-12-07,84.5
2014-12-08,20.3333333333
2014-12-09,10.0
2014-12-10,34.5
2014-12-11,16.25
2014-12-12,13.6666666667
2014-12-13,2.5
2014-12-14,9.75
2014-12-15,10.8
2014-12-16,46.5
2014-12-17,30.0
2014-12-18,91.25
2014-12-19,16.0
2014-12-20,187.0
2014-12-21,8.5
2014-12-22,63.5
2014-12-23,16.0
2014-12-24,66.0
2014-12-25,52.25
2014-12-26,44.25
2014-12-27,35.8333333333
2014-12-28,51.5
2014-12-29,232.0
2014-12-30,138.5
2014-12-31,114.666666667
2015-01-01,38.6
2015-02-03,161.666666667
2015-02-04,119.5
2015-02-05,102.75
2015-02-06,102.166666667
2015-02-07,85.0
2015-02-11,130.5
2015-02-12,225.285714286
2015-02-13,225.0
2015-02-14,178.75
2015-02-15,38.6
2015-02-27,327.25
2015-02-28,188.75
2015-03-01,90.0
2015-03-02,284.666666667
2015-03-03,147.25
2015-03-04,19.0
2015-03-21,91.8461538462
2015-03-22,100.565217391
2015-03-23,104.5
2015-03-24,51.5
2015-04-10,293.666666667
2015-04-11,438.0
2015-04-13,101.142857143
2015-04-14,112.727272727
2015-04-15,116.0
2015-04-29,1159.66666667
2015-04-30,313.4
2015-05-04,364.5
2015-05-14,222.0
2015-05-15,273.181818182
2015-05-17,472.0
2015-05-18,308.444444444
2015-05-19,297.5
2015-05-26,345.714285714
2015-05-27,195.0
2015-06-24,712.0
2015-06-25,717.5
2015-07-14,230.5
2015-07-15,593.166666667
2015-07-17,154.6
2015-07-18,258.666666667
2015-07-19,1185.0
2015-07-20,183.6
2015-07-21,279.363636364
2015-07-22,1344.5
2015-07-23,204.636363636
2015-07-24,268.272727273
2015-07-25,456.0
2015-07-26,883.5
2015-07-27,1196.66666667
2015-07-28,79.625
2015-07-29,1524.83333333
2015-07-30,101.875
2015-07-31,249.4
2015-08-01,546.4
2015-08-02,1784.75
2015-08-03,423.125
2015-08-04,77.5
2015-08-05,85.6666666667
2015-08-06,62.5
2015-08-07,176.666666667
2015-08-08,251.75
2015-08-09,430.333333333
2015-08-10,242.111111111
2015-08-11,169.3
2015-08-12,167.8
2015-08-13,194.714285714
2015-08-14,278.0
2015-08-15,177.75
2015-08-16,110.5
2015-08-17,419.0
2015-08-18,407.0
2015-08-19,389.0
2015-08-20,154.25
2015-08-21,340.0
2015-08-22,204.333333333
2015-08-23,378.75
2015-08-24,173.2
2015-08-25,146.25
2015-08-26,815.0
2015-08-27,75.5
2015-08-28,401.571428571
2015-08-29,371.0
2015-08-30,805.25
2015-08-31,339.8
2015-09-01,321.5
2015-09-02,315.571428571
2015-09-03,343.666666667
2015-09-04,206.25
2015-09-05,159.75
2015-09-06,337.333333333
2015-09-07,209.666666667
2015-09-08,279.0
2015-09-09,348.3
2015-09-10,180.125
2015-09-11,614.142857143
2015-09-12,195.625
2015-09-13,257.0
2015-09-14,360.0
2015-09-15,203.0
2015-09-16,198.5
2015-09-17,833.0
2015-09-18,253.8
2015-09-19,246.2
2015-09-20,343.75
2015-09-21,401.0
2015-09-22,776.0
2015-09-23,684.75
2015-09-24,616.666666667
2015-09-25,303.7
2015-09-26,207.0
2015-09-27,382.5
2015-09-28,304.666666667
2015-09-29,162.4
2015-09-30,334.0
2015-10-01,358.571428571
2015-10-02,279.75
2015-10-03,945.6
2015-10-04,592.318181818
2015-10-05,446.0
2015-10-06,795.75
2015-10-07,1789.0
2015-10-08,2121.625
2015-10-09,230.571428571
2015-10-10,264.25
2015-10-11,326.0
2015-10-12,1149.25
2015-10-13,3099.0
2015-10-14,138.25
2015-10-15,607.0
2015-10-16,1065.5
2015-10-17,632.666666667
2015-10-18,1435.5
2015-10-19,999.2
2015-10-20,1505.0
2015-10-21,546.5
2015-10-22,281.714285714
2015-10-23,798.4
2015-10-24,126.125
2015-10-25,237.0
2015-10-26,1039.25
2015-10-27,187.0
2015-10-29,297.0
2015-10-30,634.0
2015-10-31,251.5
2015-11-02,239.5
